SL	TIME	TITLE
07	02.18	 How to delete google tag manager account or restore it | Google tag manager account        
09	02.40	 Remove someone from Google Tag Manager | How to remove somebody from Google Tag manager    
10	02.51	 Google Tag Manager Error solve | google tag manager problem fix        
11	02.57	 Enable Data Layer on Website very easily | Google Analytics 4 with Google Tag Manager | Part - 02      
15	04.15	 Google Analytics 4 account create 2023 | How to create GA4 account | GA4 account        
18	04.50	 Google Analytics 4 Add to Cart event tracking with Parameters with Google Tag Manager | Part - 04        
20	05.07	 Google Analytics 4 setup issue solution | GA4 complete setup | GA4 errors solution      
25	05.26	 Google Analytics 4 setup Error solution | GA4 problem fixing | GA4 Error fixing | Fix GA4      
28	05.32	 How to create Google Tag Manager account in 2023 | GTM account create by         
29	05.38	 Google Analytics 4 set up in website 2023 | connect Google analytics 4 with website             
31	05.42	 How to install Google Tag Manager on Wordpress website | Install Google tag manager         
34	06.10	 Google Analytics 4 Begin checkout event tracking with Parameters with Google Tag Manager | Part-05       
42	06.52	 Google Tag Manager Error 2023 | Google Tag Assistant Error | GTM Code install Error        
45	07.08	 Grant access to Google Tag Manger 2023 | How to give access to google tag manager      
46	07.20	 install google tag manager on a wordpress site | how to install gtm on wordpress site      
50	07.37	 Google Analytics 4 Purchase Event Tracking with Parameters with Google Tag Manager | Part - 06       
54	08.01	 Enable data layer on wordpress website 2023 | How to enable data layer on wordpress         
55	08.14	 GA4 View Item Tag with Parameters setup with Google Tag Manager | Part - 03         
14	03.26	 Google Analytics 4 setup with Google Tag Manager | GA4 setup with GTM 
23	05.20	 Google Tag Manager setup live project      
26	05.27	 Google Tag Manager Error Solving | GTM Container Quality | GTM Container Status  
60	09.01	 Google Analytics 4 setup with Google Tag Manager | Part - 01        
43	06.52    Email Click tracking setup for Google Analytics 4 with Google Tag Manager
47	07.21	 Phone Number Click tracking setup for Google Analytics 4 with Google Tag Manager 
12	03.24	 How to delete Google Tag Manager container 2023 | Delete GTM container | GTM container 
41	06.37	 Facebook Pixel Setup with Google Tag Manager 
72	12.48	 Setup Facebook Pixel View Content Event with GTM in 2023 | track view content event FB pixel
76	20.40	 Facebook Add to cart Event Tracking with Parameter objectives in advanced way 2023 
78	24.01	 Facebook Purchase Event Tracking with Parameter objectives in advanced way 2023

========Yet To See===================================================
01	00.52	 Shopify Facebook Pixel Conversion API  Server Side tracking  Eneble Data layer EEC track
02	01.03	 Shopify Patment Method setup for Practice | Bogus Payment Method
03	01.04	 Setup facebook pixel and conversion API with server side tracking via GTM 
04	01.09	 facebook ads campaign manager  pixel  capi server side tracking  ga4 setup
05	01.13	 Setup or Fix Facebook Pixel Conversion API  GTM and Google Analytics install 
06	01.13	 Setup and Fix Facebook Instagram Catalog Shop  Dynamic Ads Campaign Pixel CAPI
08	02.30	 Claim website in Pinterest | Verify domain on Pinterest|How to claim website in pinterest  
13	03.24	 Google Ads Conversion Tracking with Google Tag Manager | Tag ID | Conversion Linker  
16	04.22	 Shopify Newsletter Subscription Tag setup for Google Analytics 4 with Google Tag Manager  
17	04.40	 Custom Domain in Server Side Tracking setup with Google Tag Manager and Stapeio
19	05.00	 Fiverr English Language Test 2023 | English Language test on fiverr 2023 | 8 out of 10
21	05.12	 Connect Messenger to WordPress website 2023 | Setup messenger in wordpress website 
22	05.17	 Snapchat Ad account create 2023 | How to Create Snapchat Ad account 2023 
24	05.23	 Fiverr Customer Service skill test Answers 2023 
27	05.28	 Shopify Contact Form Submit Tag setup with Parameters for Google Analytics 4 with Google Tag Manager  
30	05.41	 Shopify Add to Cart Tag with Parameters for Google Analytics 4 with Google Tag Manager 
32	06.01	 Fiverr Social Media Marketing Skill Test 2023 
33	06.01	 Shopify Begin Checkout Tag with Parameters for Google Analytics 4 with GTM 
35	06.15	 Snapchat Pixel setup with Google Tag Manager | Install Snapchat Pixel in your Website 
36	06.23	 Linkedin Insight Tag setup with Google Tag Manager | Linkedin pixel | Linkedin Tag setup  
